,Video_Title,Video_PublishDate,Video_Views,Video_Likes,Video_Comments,Group,Channel_name,Subscribers,Comments_rate,Likes_rate,Views_rate
2373,JENNIE - 'SOLO' M/V MAKING FILM,2018-11-13T01:00:01Z,6231185.0,474287.0,10478.0,famed,BLACKPINK,74100000,0.014140350877192983,0.6400634278002698,8.409156545209177
2374,JENNIE - 'SOLO' M/V,2018-11-12T09:00:04Z,819116062.0,13000076.0,1714613.0,famed,BLACKPINK,74100000,2.3139176788124156,17.54396221322537,1105.4197867746288
2375,JENNIE - 'SOLO' M/V TEASER,2018-11-09T01:00:00Z,10731534.0,889037.0,27954.0,famed,BLACKPINK,74100000,0.0377246963562753,1.1997800269905534,14.482502024291499
2376,JENNIE - 'SOLO' TEASER VIDEO #2,2018-11-03T06:00:01Z,4124789.0,431189.0,13733.0,famed,BLACKPINK,74100000,0.01853306342780027,0.5819014844804319,5.566516869095817
2377,JENNIE - 'SOLO' TEASER VIDEO #1,2018-10-29T01:10:02Z,5396480.0,521910.0,32993.0,famed,BLACKPINK,74100000,0.044524966261808366,0.704331983805668,7.282699055330634
2378,BLACKPINK - 2018 TOUR [IN YOUR AREA] SEOUL X BC CARD,2018-10-11T09:00:09Z,1114800.0,89597.0,6133.0,famed,BLACKPINK,74100000,0.008276653171390013,0.1209136302294197,1.5044534412955466
2379,BLACKPINK - '2018 TOUR [IN YOUR AREA] SEOUL X BC CARD' MESSAGE VIDEO,2018-09-14T03:00:02Z,1453342.0,121284.0,6202.0,famed,BLACKPINK,74100000,0.008369770580296896,0.1636761133603239,1.9613252361673414
2380,BLACKPINK - 2018 TOUR [IN YOUR AREA] SEOUL X BC CARD SPOT VIDEO #2,2018-09-14T03:00:01Z,787050.0,42626.0,1300.0,famed,BLACKPINK,74100000,0.0017543859649122805,0.05752496626180837,1.0621457489878543
2381,BLACKPINK - 2018 TOUR [IN YOUR AREA] SEOUL X BC CARD SPOT VIDEO,2018-09-12T01:00:00Z,834368.0,96288.0,6592.0,famed,BLACKPINK,74100000,0.00889608636977058,0.12994331983805668,1.1260026990553307
2382,BLACKPINK x YouTube - BLACKPINK Reaches 10 Million Subscribers,2018-08-25T00:00:03Z,7482005.0,825904.0,41126.0,famed,BLACKPINK,74100000,0.055500674763832664,1.1145802968960865,10.097172739541161
2383,BLACKPINK - ‘블핑하우스 (BLACKPINK HOUSE)’ EP.12-2,2018-08-18T00:00:06Z,16261600.0,476019.0,10254.0,famed,BLACKPINK,74100000,0.013838056680161944,0.6424008097165992,21.94547908232119
2384,BLACKPINK - ‘블핑하우스 (BLACKPINK HOUSE)’ EP.12-4,2018-08-18T00:00:03Z,4876826.0,207760.0,10571.0,famed,BLACKPINK,74100000,0.014265856950067476,0.2803778677462888,6.581411605937921
2385,BLACKPINK - ‘블핑하우스 (BLACKPINK HOUSE)’ EP.12-1,2018-08-18T00:00:01Z,6536228.0,261995.0,6439.0,famed,BLACKPINK,74100000,0.008689608636977058,0.35356950067476384,8.820820512820513
2386,BLACKPINK - ‘블핑하우스 (BLACKPINK HOUSE)’ EP.12-3,2018-08-18T00:00:01Z,5262535.0,187560.0,4581.0,famed,BLACKPINK,74100000,0.006182186234817814,0.2531174089068826,7.10193657219973
2387,BLACKPINK - DDU-DU DDU-DU (JP Ver.) M/V,2018-08-17T08:00:01Z,13608728.0,923025.0,36225.0,famed,BLACKPINK,74100000,0.04888663967611336,1.2456477732793523,18.36535492577598
2388,BLACKPINK JAPAN SINGLE CD “DDU-DU DDU-DU” TRAILER,2018-08-17T08:00:00Z,1149923.0,83596.0,2324.0,famed,BLACKPINK,74100000,0.003136302294197031,0.11281511470985155,1.5518529014844804
2389,BLACKPINK - '블핑하우스 (BLACKPINK HOUSE)' EP.12 PREVIEW,2018-08-13T05:00:01Z,2266583.0,154118.0,10782.0,famed,BLACKPINK,74100000,0.014550607287449393,0.20798650472334682,3.0588164642375166
2390,BLACKPINK - ‘FOREVER YOUNG’ 0805 SBS Inkigayo,2018-08-05T05:32:56Z,59802233.0,1057816.0,42601.0,famed,BLACKPINK,74100000,0.05749122807017544,1.4275519568151147,80.70476788124157
